bundle,target,seed,kappa,step,scaled_hessian_max,scaled_hessian_min,largest_mode_update_eigenvalue,readout_l2,top_mode_slope_fraction,top_mode_hidden_bias_fraction,top_mode_readout_fraction,top_mode_output_bias_fraction
core_N128_s2,runge,2,1.0,100000,0.01083192459950306,-3.771695635708219e-05,0.9891680754004969,1.530145430418322,0.00027702674476696326,0.409660248957773,0.4055803526257179,0.18448237167174206
core_N128_s2,runge,2,100.0,100000,0.6656284837360706,-1.8575349779069137e-05,0.33437151626392936,5.330637611174635,0.0004329787890573927,0.06942910755745459,0.6297983940390921,0.30033951961439637
core_N128_s2,moment3,2,1.0,100000,0.010335421487344162,-3.090427254064804e-05,0.9896645785126559,1.518882856814578,9.405578622838682e-05,0.43329703243766726,0.3732006387775075,0.19340827299859484
core_N128_s2,moment3,2,100.0,100000,1.087420004808018,-7.993259374670321e-06,-0.08742000480801804,19.980177666711057,0.000119342883653079,0.4730471076296336,0.34438845298631715,0.1824450965003956
core_N128_s2,moment5,2,1.0,100000,0.009986123368241728,-2.6310364670807313e-07,0.9900138766317583,1.461427430336136,9.295490335445181e-05,0.4147824382885008,0.38494957318281664,0.20017503362532688
core_N128_s2,moment5,2,100.0,100000,0.5874690190033199,-4.3728068340775557e-07,0.41253098099668006,1.509183818970297,5.234832810237489e-06,0.0075171119166294945,0.6526966391288883,0.33978101412167216
core_N128_s2,moment9,2,1.0,100000,0.009987125303405696,-4.128159415572216e-08,0.9900128746965943,1.4615334877584691,9.301168832303031e-05,0.41481285311701865,0.38493933599161895,0.20015479920303808
core_N128_s2,moment9,2,100.0,100000,0.5874908042991208,-2.0130600840033143e-07,0.4125091957008792,1.5098743473221732,5.214288120686273e-06,0.007523939534259628,0.6527033228044361,0.33976752337318317
core_N128_s2,sine,2,1.0,600000,0.015827624928848497,-2.8895518242319562e-05,0.9841723750711515,2.722738851516139,0.00019890298145227914,0.6435713884463456,0.23035949338293263,0.1258702151892693
core_N128_s2,sine,2,100.0,600000,1.8080957079018967,-3.246375969127703e-06,-0.8080957079018967,35.7225596897693,3.327368257098561e-05,0.6973538290354534,0.19696033616435887,0.10565256111761681
core_N128_s2,runge,2,1.0,600000,0.011897724746043342,-2.0346095811945494e-06,0.9881022752539567,2.5391857835611944,0.0013493655178554074,0.47504999259399827,0.3582113882520801,0.16538925363606588
core_N128_s2,runge,2,100.0,600000,0.6421823658018565,-2.2511948307798186e-06,0.3578176341981435,8.404376736803313,0.000504940100975826,0.07446557584434013,0.6162708876930025,0.3087585963616817
core_N128_s2,moment3,2,1.0,600000,0.07276953470577986,-1.8415349941066588e-05,0.9272304652942202,8.231114186899106,0.001294248714543382,0.9254188644389936,0.04766859407915612,0.02561829276730658
core_N128_s2,moment3,2,100.0,600000,2.0000989069204786,-0.0010933176300800805,-1.0000989069204786,32.0931860830619,7.594195418357071e-05,0.7466718719428482,0.1544052031260819,0.09884698297688639
core_N128_s2,moment5,2,1.0,600000,0.009980882192279805,-2.828696399719669e-07,0.9900191178077202,1.4608576227374375,9.75704497315033e-05,0.41462578072601786,0.38500423641943815,0.20027241240481236
core_N128_s2,moment5,2,100.0,600000,0.5874369513206982,-5.174409177179721e-07,0.4125630486793018,1.5163199944837777,5.349173032620925e-06,0.007587247794883582,0.6526157362901419,0.33979166674194183
core_N128_s2,moment9,2,1.0,600000,0.009987020467805701,-3.5628361856187394e-08,0.9900129795321942,1.4614999785526614,9.763572978851935e-05,0.4148094694587401,0.3849440801912209,0.2001488146202507
core_N128_s2,moment9,2,100.0,600000,0.5875074428121887,-5.745723741723397e-08,0.4124925571878113,1.5093404811687503,5.148690734625441e-06,0.007518756719819443,0.6527266018614362,0.33974949272801
core_N128_s3,sine,3,1.0,20000,0.009460610886443666,-3.509760766637279e-06,0.9905393891135563,1.3897967015288482,2.4725746297659536e-05,0.3963841940688867,0.39218947943502697,0.2114016007497887
core_N128_s3,sine,3,100.0,20000,0.5765258692248791,-2.3873350522261942e-05,0.42347413077512086,1.57140419760122,4.3933707356936775e-07,0.008322529062097406,0.6447730420563871,0.346903989544443
core_N128_s3,runge,3,1.0,20000,0.009434674289277136,-1.664285649840069e-05,0.9905653257107229,1.3761846560409523,2.6479553124934024e-05,0.3897310358330095,0.3982579648696822,0.211984519744183
core_N128_s3,runge,3,100.0,20000,0.6267667217435342,-0.00015353439224312886,0.3732332782564658,4.040452034386464,1.8588921914866447e-05,0.04867143653751688,0.6322221732934693,0.31908780124709796
core_N128_s3,moment3,3,1.0,20000,0.009677838300422547,-1.2150716678632891e-05,0.9903221616995774,1.4223303662835338,2.404092428074884e-05,0.4061002252071513,0.38722362172282204,0.206652112145747
core_N128_s3,moment3,3,100.0,20000,0.584806108898354,-0.00014663554780830533,0.41519389110164595,2.6547746107455055,1.834434781841544e-06,0.023338600283476806,0.6346695503124505,0.34199001496929043
core_N128_s3,moment5,3,1.0,20000,0.009649613379413233,-2.386579957311223e-07,0.9903503866205867,1.4185897129423966,2.6089173471500308e-05,0.4048626589962193,0.38785712150391594,0.207254130326394
core_N128_s3,moment5,3,100.0,20000,0.5758059388589974,-5.618369148609362e-07,0.42419406114100255,1.4643400334838894,3.728280782060866e-07,0.00724220173772075,0.6454197157324763,0.3473377097017247
core_N128_s3,moment9,3,1.0,20000,0.009649755396039253,-4.801737166380193e-08,0.9903502446039607,1.418604528779137,2.608090527017369e-05,0.4048670700165232,0.3878557588504763,0.2072510902277308
core_N128_s3,moment9,3,100.0,20000,0.575805662048585,-2.2296256611334727e-07,0.42419433795141503,1.4639251017689277,3.723008085808489e-07,0.007238145656139084,0.6454236047947823,0.3473378772482702
core_N128_s3,sine,3,1.0,100000,0.009494880486217761,-4.007370947297125e-06,0.9905051195137823,1.3942640502210855,2.2464712689256562e-05,0.39771886695329567,0.3916201649066508,0.21063850342736404
